category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
Product Design,Design,USD,3/28/2015,500000,2/24/2015 15:44,20338986.27,successful,78471,US,20338986.27,20338986.27,500000
Product Design,Design,USD,6/30/2016,1000000,5/24/2016 15:49,12779843.49,successful,66673,US,12779843.49,12779843.49,1000000
Tabletop Games,Games,USD,10/19/2017,40000,9/26/2017 20:00,7072757,successful,43733,US,1574139.5,7072757,40000
Product Design,Design,USD,9/10/2016,500000,7/13/2016 0:47,6565782.5,successful,26359,US,1462611,6565782.5,500000
Web,Technology,USD,7/2/2014,1000000,5/28/2014 15:05,5408916.95,successful,105857,US,5408916.95,5408916.95,1000000
Product Design,Design,USD,5/31/2017,21500,4/26/2017 16:46,4729263.13,successful,23805,US,477133,4729263.13,21500
Product Design,Design,USD,9/11/2015,100000,8/11/2015 6:27,3126114.96,successful,8559,US,3126114.96,3126114.96,100000
Technology,Technology,USD,10/26/2012,100000,9/26/2012 14:45,2945885.21,successful,2068,US,2945885.21,2945885.21,100000
Camera Equipment,Technology,USD,6/22/2017,50000,5/23/2017 16:00,2650310.88,successful,15766,US,89806,2650310.88,50000
Product Design,Design,USD,7/17/2016,100000,5/18/2016 16:44,2568586,successful,2323,US,2018151,2568586,100000
Hardware,Technology,USD,1/23/2016,31416,12/9/2015 12:44,1731465.98,successful,36781,US,1731465.98,1731465.98,31416
Food,Food,USD,4/7/2016,30000,3/7/2016 2:25,1633361.53,successful,12553,US,1633361.53,1633361.53,30000
3D Printing,Technology,USD,7/29/2017,100000,6/26/2017 18:29,1631827,successful,6034,US,259202,1631827,100000
Technology,Technology,USD,1/25/2015,30000,1/5/2015 14:56,1552256.8,successful,10160,US,1552256.8,1552256.8,30000
Product Design,Design,USD,6/4/2016,250000,4/19/2016 6:02,1468736.88,successful,3715,US,1468736.88,1468736.88,250000
Robots,Technology,USD,4/26/2015,100000,2/25/2015 19:53,1428519.56,successful,7493,US,1428519.56,1428519.56,100000
Tabletop Games,Games,USD,6/10/2016,10000,5/11/2016 19:01,1353024.46,successful,30546,US,1353024.46,1353024.46,10000
Product Design,Design,USD,11/11/2017,100000,11/6/2017 15:09,1330583.85,successful,12196,US,399284.95,1330583.85,100000
Gadgets,Technology,USD,6/6/2017,30000,5/2/2017 16:59,1251380.03,successful,10964,US,67514,1251380.03,30000
Fabrication Tools,Technology,USD,4/18/2015,50000,3/9/2015 14:45,1193255,successful,630,US,1193255,1193255,50000
Music,Music,USD,6/1/2012,100000,4/30/2012 12:56,1192793.11,successful,24883,US,1192793.11,1192793.11,100000
Documentary,Film & Video,USD,4/9/2016,500000,3/8/2016 17:40,1126036.89,successful,8688,US,1126036.89,1126036.89,500000
Wearables,Technology,USD,5/11/2017,25000,3/28/2017 14:31,1118389.96,successful,13349,US,140127,1118389.96,25000
Camera Equipment,Technology,USD,12/12/2015,50000,11/10/2015 17:57,1110820.01,successful,12626,US,1110820.01,1110820.01,50000
Wearables,Technology,USD,1/24/2017,5000,12/10/2016 11:34,1076751.05,canceled,775,US,142364.6,1076751.05,5000
Camera Equipment,Technology,USD,11/16/2017,30000,10/17/2017 17:55,1055480.02,successful,4126,US,143654.96,1055480.02,30000
Apparel,Fashion,USD,4/21/2013,50000,3/7/2013 20:44,1053830.62,successful,9226,US,1053830.62,1053830.62,50000
